desc,par,loc
"Zona sur,","Florencio Varela,",Bosques
"Zona sur,","Florencio Varela,",Zeballos
"Zona sur,","Florencio Varela,",Villa Vatteone
"Zona sur,","Avellaneda,",Avellaneda
"Zona sur,","Avellaneda,",Gerli
"Zona sur,","Avellaneda,",Sarandi
"Zona sur,","Lanus,",Monte Chingolo
"Zona sur,","Lanus,",Remedios de escalada
"Zona sur,","Lanus,",Valentin alsina
"Zona sur,","Lomas de Zamora,",Banfield
"Zona sur,","Lomas de Zamora,",Temperley
"Zona sur,","Lomas de Zamora,",Turdera
"Zona sur,","Esteban Echeverría,",Monte Grande
"Zona sur,","Esteban Echeverría,",Canning
"Zona sur,","Esteban Echeverría,",Luis Gullon
"Zona sur,","Ezeiza,",Carlos Spegazzini
"Zona sur,","Ezeiza,",Tristan Suarez
"Zona sur,","Ezeiza,",La Union
"Zona sur,","San Vicente,",San Vicente
"Zona sur,","San Vicente,",Alejandro Korn
"Zona sur,","San Vicente,",Domselaar
"Zona sur,","Presidente Perón,",Guernica
"Zona sur,","Almirante Brown,",Longchamps
"Zona sur,","Almirante Brown,",Claypole
"Zona sur,","Almirante Brown,",Burzaco
"Zona sur,","Quilmes,",Bernal
"Zona sur,","Quilmes,",Ezpeleta
"Zona sur,","Quilmes,",Don Bosco
"Zona sur,","Berazategui,",Hudson
"Zona sur,","Berazategui,",Ranelagh
"Zona sur,","Berazategui,",Pereyra
